,id,date,text,favorite_count
70,1312196466333499394,Sat Oct 03 01:03:11 +0000 2020,"🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen… https://t.co/eBXBgoRifa",1
44,1312443127261614080,Sat Oct 03 17:23:20 +0000 2020,"@HahaShib3 @discord that 😬 is 🤗 so 😞 fucking 😤 sad 😭
#society #societywontletus #humanrights #deep #deeep… https://t.co/Y6J75MbcsL",1
50,1312391998540836864,Sat Oct 03 14:00:10 +0000 2020,"“I just hope my death makes more cents than my life.” 
#jokermovie",1
17,1312704952138047488,Sun Oct 04 10:43:44 +0000 2020,"“We stopped checking for monsters under our bed, when we realized they were inside us.” – The Joker

Connect with m… https://t.co/f2MTWobXpJ",1
78,1312195102450675713,Sat Oct 03 00:57:46 +0000 2020,🤡 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios – Official Trailer.… https://t.co/yb2lqWO3nu,1
79,1312195000105484288,Sat Oct 03 00:57:22 +0000 2020,🤡 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios – Official Trailer.… https://t.co/OF4qK20pud,1
89,1312189730675544065,Sat Oct 03 00:36:25 +0000 2020,RT @HeathLegend: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/3 Scale Statue by Queen Studios at Wonder Festival in Shanghai.…,0
55,1312207829382516736,Sat Oct 03 01:48:20 +0000 2020,RT @HeathLegend: 🆕 First Look: 𝗛𝗲𝗮𝘁𝗵 𝗟𝗲𝗱𝗴𝗲𝗿 and 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as 𝗧𝗵𝗲 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Busts by Infinity Studio at Wonder Festi…,0
54,1312208011377532928,Sat Oct 03 01:49:04 +0000 2020,RT @HeathLegend: 🆕 First Look: 𝗛𝗲𝗮𝘁𝗵 𝗟𝗲𝗱𝗴𝗲𝗿 and 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as 𝗧𝗵𝗲 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Busts by Infinity Studio at Wonder Festi…,0
57,1312204568210546690,Sat Oct 03 01:35:23 +0000 2020,🆕 First Look: Joaquin Phoenix as The Joker from Joker – 1/1 Life-Size Scale Bust by Infinity Studio at Wonder Festi… https://t.co/PNSwsRNTtR,0
58,1312204520902983680,Sat Oct 03 01:35:12 +0000 2020,🆕First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as 𝗧𝗵𝗲 𝗝𝗼𝗸𝗲𝗿 from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Infinity Studio at Wonder Festiv… https://t.co/YoyzRfQHKW,0
59,1312203703248580609,Sat Oct 03 01:31:57 +0000 2020,RT @HeathLegend: 🆕 First Look: Joaquin Phoenix as The Joker from Joker – 1/1 Life-Size Scale Bust by Infinity Studio at Wonder Festival. 🤡…,0
88,1312190187431030784,Sat Oct 03 00:38:14 +0000 2020,🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/3 Scale Bust by Queen Studios at Wonder Festival in Shang… https://t.co/juXpLIMBQO,0
60,1312203671053107201,Sat Oct 03 01:31:49 +0000 2020,RT @HeathLegend: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as 𝗧𝗵𝗲 𝗝𝗼𝗸𝗲𝗿 from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Infinity Studio at Wonder Festival. 🤡…,0
65,1312197454519959552,Sat Oct 03 01:07:07 +0000 2020,🤡 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios – Official Trailer.… https://t.co/FHucn9rEcY,0
87,1312190257417216001,Sat Oct 03 00:38:31 +0000 2020,🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/3 Scale Bust by Queen Studios at Wonder Festival in Shang… https://t.co/ttVF6vUAsa,0
86,1312190584543567873,Sat Oct 03 00:39:49 +0000 2020,🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/3 Scale Statue by Queen Studios at Wonder Festival in Sha… https://t.co/uuyYiXgV9V,0
63,1312200398590013440,Sat Oct 03 01:18:49 +0000 2020,"RT @JohnSant87: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen: https:…",0
64,1312197566038044675,Sat Oct 03 01:07:33 +0000 2020,🤡 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios – Official Trailer.… https://t.co/V4P1THv1tQ,0
83,1312192729858809857,Sat Oct 03 00:48:20 +0000 2020,"RT @HeathLegend: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen: https…",0
66,1312197358172598273,Sat Oct 03 01:06:44 +0000 2020,🤡 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios – Official Trailer.… https://t.co/tvPevhxFxh,0
85,1312190645960761344,Sat Oct 03 00:40:03 +0000 2020,🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/3 Scale Statue by Queen Studios at Wonder Festival in Sha… https://t.co/OXNuPIzNOE,0
71,1312196282849488896,Sat Oct 03 01:02:27 +0000 2020,"🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen… https://t.co/nxeTO5e9M0",0
72,1312195735820013569,Sat Oct 03 01:00:17 +0000 2020,"RT @HeathLegend: 🤡 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios – Official Trailer.
@Studios_Queen:…",0
73,1312195730992295936,Sat Oct 03 01:00:16 +0000 2020,"RT @HeathLegend: 🤡 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios – Official Trailer.
@Studios_Queen:…",0
74,1312195441400770561,Sat Oct 03 00:59:07 +0000 2020,RT @HeathLegend: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust + 1/3 Scale Statue by Queen Studios at Wo…,0
75,1312195385310412800,Sat Oct 03 00:58:53 +0000 2020,"RT @HeathLegend: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen: https…",0
76,1312195327923945473,Sat Oct 03 00:58:40 +0000 2020,"RT @HeathLegend: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen: https…",0
77,1312195263650435077,Sat Oct 03 00:58:24 +0000 2020,"RT @HeathLegend: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen: https…",0
69,1312196504707235850,Sat Oct 03 01:03:20 +0000 2020,"RT @JohnSant87: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen: https:…",0
45,1312435751544553473,Sat Oct 03 16:54:01 +0000 2020,"RT @BestFilmylines_: - Joker (2019)
Director: Todd Phillips

#Joker #JoaquinPhoenix #JokerMovie #ToddPhillips #hollywood #hollywoodmovie #h…",0
52,1312229548570931202,Sat Oct 03 03:14:39 +0000 2020,started watching Joker (2019) https://t.co/0WW4qlxN6P #JokerMovie #trakt,0
13,1312709838602825728,Sun Oct 04 11:03:09 +0000 2020,"RT @daddy__crow: Ahem, i drew this out of nowhere 😂💦💦💦  #joker #Jokermovie #JokerFanart https://t.co/ENHei6vOb9",0
21,1312696123312619520,Sun Oct 04 10:08:39 +0000 2020,"RT @daddy__crow: That after scissors scene ....
- #Joker #JokerMovie #JokerFanart https://t.co/pl5ZxQtBS2",0
20,1312702556850724864,Sun Oct 04 10:34:13 +0000 2020,"RT @daddy__crow: Clowns' wedding. 🤡💍🤡
#Joker #JokerMovie  #JokerFanart https://t.co/iEXCV1Ui6p",0
19,1312702891195473921,Sun Oct 04 10:35:32 +0000 2020,"RT @daddy__crow: HAPPY BIRTHDAY ARTHUR FLECK 🤡💕

#Joker #JokerMovie #JokerFanArt https://t.co/tVPngT7W9r",0
18,1312704342793674752,Sun Oct 04 10:41:18 +0000 2020,"RT @daddy__crow: How do you like Joker Joaquin in Joker Heath's outfit?🤔
#Joker #JokerMovie #JoaquinPhoenix  #Jokerfanart https://t.co/I9yK…",0
16,1312705007783944193,Sun Oct 04 10:43:57 +0000 2020,One year ago Joker came out! #Joker #jokermovie #JoaquinPhoenix #toddphillips @jokermovie @TheBatman https://t.co/viD43116nr,0
15,1312705785911181317,Sun Oct 04 10:47:02 +0000 2020,"RT @youareloveart: “We stopped checking for monsters under our bed, when we realized they were inside us.” – The Joker

Connect with me  on…",0
14,1312709642762350594,Sun Oct 04 11:02:22 +0000 2020,"RT @daddy__crow: « I used to think my life was a tragedy. But now I realize, it’s a comedy »
—- Joker (2019)

#JOKER #Jokermovie #WeAreAllC…",0
12,1312710172310077441,Sun Oct 04 11:04:28 +0000 2020,"RT @daddy__crow: Living peacefully ever after, together. 🥺🤡💕
#Joker #JokerMovie #Clowns https://t.co/tgCCPJv8CU",0
49,1312409166636613633,Sat Oct 03 15:08:23 +0000 2020,"RT @Herwansyah_dodi: Im not a monster, I'm just tired of being a good person!!!
.
.
#jokerquotes #Joker #JokerFilm #joker123 #joker2019 #Jo…",0
11,1312710334931632129,Sun Oct 04 11:05:07 +0000 2020,"RT @daddy__crow: Now on sportify 🤡🎧
#Joker #JokerMovie https://t.co/SSEPJqe6iN",0
10,1312710391475003396,Sun Oct 04 11:05:20 +0000 2020,"RT @daddy__crow: Congrats to The Duo 🤡🎼
#Oscars2020  #Joker #JokerMovie #JoaquinPhoenix  #HildurGuðnadottir https://t.co/1hdMtbitmq",0
9,1312710843096686593,Sun Oct 04 11:07:08 +0000 2020,"RT @daddy__crow: Apple 🍎🥺🤡
#Joker #JokerMovie #JokerFanArt https://t.co/ffyYeYX0M3",0
6,1312750149836460032,Sun Oct 04 13:43:20 +0000 2020,"1 year ago 🤡❤ #jokermovie 
#JoaquinPhoenix https://t.co/POMLkYgL7s",0
5,1312751261750444033,Sun Oct 04 13:47:45 +0000 2020,"RT @skabir_lazarus: On this day a year ago Joker, with a great lead performance by Joaquin Phoenix, was released. #JokerMovie https://t.co/…",0
4,1312754932349644800,Sun Oct 04 14:02:20 +0000 2020,// Happy first anniversary to Joker! This was the best day of my life going to Downtown Toronto hanging around at T… https://t.co/XtRF7jyTiT,0
2,1312756366063226882,Sun Oct 04 14:08:02 +0000 2020,"RT @TYTwen0514: ""Knock Knock.""
""Who's there?""
🤡""Trick or Die.""🤡

#Joker #Jokerfanart #JokerMovie #halloween2019 https://t.co/Lyj7EJUAmD",0
22,1312660088063234050,Sun Oct 04 07:45:27 +0000 2020,RT @jokermovie: “Joaquin Phoenix is astonishing.” #JokerMovie - in theaters October 4. https://t.co/ckGSF5UA4K,0
